"cohort_start_date","dose","n_dose","n"
2022-02-18,"2 dose",4,6
2022-02-18,"1 dose",2,6
2022-02-19,"1 dose",1,18
2022-02-19,"3 dose",3,18
2022-02-19,"2 dose",14,18
2022-02-20,"3 dose",2,10
2022-02-20,"1 dose",3,10
2022-02-20,"2 dose",5,10
2022-02-21,"3 dose",3,11
2022-02-21,"1 dose",2,11
2022-02-21,"2 dose",6,11
2022-02-22,"1 dose",1,15
2022-02-22,"3 dose",4,15
2022-02-22,"2 dose",10,15
2022-02-23,"2 dose",7,8
2022-02-23,"3 dose",1,8
2022-02-24,"2 dose",7,8
2022-02-24,"3 dose",1,8
2022-02-25,"2 dose",10,14
2022-02-25,"1 dose",4,14
2022-02-26,"2 dose",4,8
2022-02-26,"3 dose",2,8
2022-02-26,"1 dose",2,8
2022-02-27,"3 dose",1,8
2022-02-27,"1 dose",1,8
2022-02-27,"2 dose",6,8
2022-02-28,"2 dose",6,9
2022-02-28,"1 dose",1,9
2022-02-28,"3 dose",2,9
2022-03-01,"1 dose",1,11
2022-03-01,"3 dose",1,11
2022-03-01,"2 dose",9,11
2022-03-02,"2 dose",8,9
2022-03-02,"3 dose",1,9
2022-03-03,"3 dose",1,6
2022-03-03,"2 dose",4,6
2022-03-03,"1 dose",1,6
2022-03-04,"3 dose",2,11
2022-03-04,"4 dose",1,11
2022-03-04,"1 dose",3,11
2022-03-04,"2 dose",5,11
2022-03-05,"1 dose",1,9
2022-03-05,"2 dose",6,9
2022-03-05,"3 dose",2,9
2022-03-06,"1 dose",2,7
2022-03-06,"2 dose",4,7
2022-03-06,"3 dose",1,7
2022-03-07,"3 dose",1,7
2022-03-07,"2 dose",6,7
2022-03-08,"2 dose",7,9
2022-03-08,"1 dose",1,9
2022-03-08,"3 dose",1,9
2022-03-09,"2 dose",7,11
2022-03-09,"1 dose",2,11
2022-03-09,"3 dose",2,11
2022-03-10,"3 dose",4,7
2022-03-10,"1 dose",1,7
2022-03-10,"2 dose",2,7
2022-03-11,"2 dose",8,13
2022-03-11,"3 dose",3,13
2022-03-11,"1 dose",2,13
2022-03-12,"2 dose",4,10
2022-03-12,"1 dose",4,10
2022-03-12,"3 dose",2,10
2022-03-13,"3 dose",3,6
2022-03-13,"1 dose",1,6
2022-03-13,"2 dose",2,6
2022-03-14,"2 dose",5,9
2022-03-14,"3 dose",2,9
2022-03-14,"1 dose",2,9
2022-03-15,"3 dose",4,9
2022-03-15,"2 dose",5,9
2022-03-16,"3 dose",4,8
2022-03-16,"1 dose",1,8
2022-03-16,"2 dose",3,8
2022-03-17,"3 dose",3,5
2022-03-17,"2 dose",2,5
2022-03-18,"2 dose",3,8
2022-03-18,"1 dose",1,8
2022-03-18,"3 dose",4,8
2022-03-19,"2 dose",2,15
2022-03-19,"3 dose",5,15
2022-03-19,"1 dose",8,15
2022-03-20,"3 dose",1,7
2022-03-20,"2 dose",2,7
2022-03-20,"1 dose",4,7
2022-03-21,"2 dose",4,10
2022-03-21,"1 dose",5,10
2022-03-21,"3 dose",1,10
2022-03-22,"1 dose",2,5
2022-03-22,"3 dose",1,5
2022-03-22,"2 dose",2,5
2022-03-23,"1 dose",3,9
2022-03-23,"3 dose",3,9
2022-03-23,"2 dose",2,9
2022-03-23,"4 dose",1,9
2022-03-24,"1 dose",3,12
2022-03-24,"3 dose",5,12
2022-03-24,"2 dose",4,12
2022-03-25,"3 dose",4,10
2022-03-25,"1 dose",2,10
2022-03-25,"2 dose",4,10
2022-03-26,"1 dose",10,12
2022-03-26,"3 dose",1,12
2022-03-26,"2 dose",1,12
2022-03-27,"3 dose",2,10
2022-03-27,"1 dose",7,10
2022-03-27,"2 dose",1,10
2022-03-28,"3 dose",25,31
2022-03-28,"2 dose",6,31
2022-03-29,"3 dose",19,22
2022-03-29,"2 dose",3,22
2022-03-30,"3 dose",26,28
2022-03-30,"2 dose",1,28
2022-03-30,"1 dose",1,28
2022-03-31,"1 dose",2,19
2022-03-31,"2 dose",4,19
2022-03-31,"3 dose",13,19
2022-04-01,"1 dose",1,23
2022-04-01,"2 dose",3,23
2022-04-01,"3 dose",19,23
2022-04-02,"2 dose",6,30
2022-04-02,"3 dose",11,30
2022-04-02,"4 dose",1,30
2022-04-02,"1 dose",12,30
2022-04-03,"2 dose",3,12
2022-04-03,"1 dose",5,12
2022-04-03,"3 dose",4,12
2022-04-04,"3 dose",17,26
2022-04-04,"2 dose",2,26
2022-04-04,"1 dose",7,26
2022-04-05,"3 dose",13,23
2022-04-05,"2 dose",3,23
2022-04-05,"1 dose",7,23
2022-04-06,"1 dose",8,28
2022-04-06,"2 dose",3,28
2022-04-06,"3 dose",17,28
2022-04-07,"1 dose",3,23
2022-04-07,"3 dose",16,23
2022-04-07,"2 dose",4,23
2022-04-08,"3 dose",34,46
2022-04-08,"1 dose",3,46
2022-04-08,"2 dose",9,46
2022-04-09,"2 dose",4,32
2022-04-09,"1 dose",8,32
2022-04-09,"3 dose",20,32
2022-04-10,"3 dose",10,21
2022-04-10,"2 dose",4,21
2022-04-10,"1 dose",7,21
2022-04-11,"1 dose",4,48
2022-04-11,"3 dose",36,48
2022-04-11,"2 dose",8,48
2022-04-12,"1 dose",2,47
2022-04-12,"2 dose",5,47
2022-04-12,"3 dose",40,47
2022-04-13,"3 dose",37,44
2022-04-13,"2 dose",4,44
2022-04-13,"1 dose",3,44
2022-04-14,"1 dose",1,36
2022-04-14,"3 dose",29,36
2022-04-14,"2 dose",3,36
2022-04-14,"4 dose",3,36
2022-04-15,"2 dose",1,22
2022-04-15,"1 dose",6,22
2022-04-15,"3 dose",15,22
2022-04-16,"1 dose",3,20
2022-04-16,"3 dose",16,20
2022-04-16,"4 dose",1,20
2022-04-17,"3 dose",16,20
2022-04-17,"2 dose",1,20
2022-04-17,"1 dose",3,20
2022-04-18,"3 dose",7,9
2022-04-18,"2 dose",1,9
2022-04-18,"1 dose",1,9
2022-04-19,"3 dose",40,52
2022-04-19,"1 dose",5,52
2022-04-19,"2 dose",7,52
2022-04-20,"2 dose",3,46
2022-04-20,"3 dose",40,46
2022-04-20,"4 dose",1,46
2022-04-20,"1 dose",2,46
2022-04-21,"1 dose",2,45
2022-04-21,"3 dose",39,45
2022-04-21,"4 dose",1,45
2022-04-21,"2 dose",3,45
2022-04-22,"1 dose",3,30
2022-04-22,"3 dose",27,30
2022-04-23,"1 dose",1,36
2022-04-23,"2 dose",3,36
2022-04-23,"3 dose",32,36
2022-04-24,"2 dose",5,25
2022-04-24,"3 dose",16,25
2022-04-24,"1 dose",4,25
2022-04-25,"1 dose",2,37
2022-04-25,"2 dose",5,37
2022-04-25,"4 dose",2,37
2022-04-25,"3 dose",28,37
2022-04-26,"1 dose",1,39
2022-04-26,"3 dose",31,39
2022-04-26,"2 dose",7,39
2022-04-27,"4 dose",2,35
2022-04-27,"2 dose",5,35
2022-04-27,"3 dose",28,35
2022-04-28,"1 dose",2,23
2022-04-28,"4 dose",1,23
2022-04-28,"2 dose",3,23
2022-04-28,"3 dose",17,23
2022-04-29,"2 dose",2,26
2022-04-29,"3 dose",23,26
2022-04-29,"4 dose",1,26
2022-04-30,"3 dose",15,25
2022-04-30,"2 dose",6,25
2022-04-30,"1 dose",3,25
2022-04-30,"4 dose",1,25
2022-05-01,"2 dose",2,12
2022-05-01,"1 dose",3,12
2022-05-01,"3 dose",7,12
2022-05-02,"2 dose",2,14
2022-05-02,"4 dose",1,14
2022-05-02,"3 dose",10,14
2022-05-02,"1 dose",1,14
2022-05-03,"2 dose",7,23
2022-05-03,"1 dose",1,23
2022-05-03,"4 dose",1,23
2022-05-03,"3 dose",14,23
2022-05-04,"1 dose",4,27
2022-05-04,"2 dose",4,27
2022-05-04,"3 dose",17,27
2022-05-04,"4 dose",2,27
2022-05-05,"4 dose",1,40
2022-05-05,"1 dose",5,40
2022-05-05,"2 dose",6,40
2022-05-05,"3 dose",28,40
2022-05-06,"2 dose",4,36
2022-05-06,"4 dose",4,36
2022-05-06,"3 dose",26,36
2022-05-06,"1 dose",2,36
2022-05-07,"4 dose",2,31
2022-05-07,"1 dose",3,31
2022-05-07,"2 dose",6,31
2022-05-07,"3 dose",20,31
2022-05-08,"2 dose",3,16
2022-05-08,"1 dose",6,16
2022-05-08,"3 dose",5,16
2022-05-08,"4 dose",2,16
2022-05-09,"4 dose",2,19
2022-05-09,"2 dose",5,19
2022-05-09,"3 dose",12,19
2022-05-10,"4 dose",4,28
2022-05-10,"3 dose",16,28
2022-05-10,"2 dose",4,28
2022-05-10,"1 dose",4,28
2022-05-11,"4 dose",1,29
2022-05-11,"2 dose",8,29
2022-05-11,"3 dose",20,29
2022-05-12,"2 dose",2,24
2022-05-12,"3 dose",18,24
2022-05-12,"1 dose",3,24
2022-05-12,"4 dose",1,24
2022-05-13,"4 dose",2,21
2022-05-13,"3 dose",16,21
2022-05-13,"2 dose",3,21
2022-05-14,"3 dose",17,20
2022-05-14,"2 dose",3,20
2022-05-15,"2 dose",2,12
2022-05-15,"1 dose",2,12
2022-05-15,"3 dose",8,12
2022-05-16,"4 dose",2,18
2022-05-16,"3 dose",12,18
2022-05-16,"2 dose",4,18
2022-05-17,"1 dose",3,30
2022-05-17,"2 dose",2,30
2022-05-17,"3 dose",24,30
2022-05-17,"4 dose",1,30
2022-05-18,"3 dose",31,37
2022-05-18,"2 dose",6,37
2022-05-19,"2 dose",4,22
2022-05-19,"4 dose",3,22
2022-05-19,"3 dose",14,22
2022-05-19,"1 dose",1,22
2022-05-20,"3 dose",8,14
2022-05-20,"1 dose",2,14
2022-05-20,"2 dose",4,14
2022-05-21,"2 dose",4,12
2022-05-21,"3 dose",6,12
2022-05-21,"1 dose",2,12
2022-05-22,"3 dose",4,10
2022-05-22,"1 dose",4,10
2022-05-22,"2 dose",2,10
2022-05-23,"3 dose",7,8
2022-05-23,"1 dose",1,8
2022-05-24,"3 dose",8,14
2022-05-24,"2 dose",6,14
2022-05-25,"1 dose",2,16
2022-05-25,"2 dose",3,16
2022-05-25,"3 dose",10,16
2022-05-25,"4 dose",1,16
2022-05-26,"2 dose",2,12
2022-05-26,"4 dose",1,12
2022-05-26,"3 dose",9,12
2022-05-27,"2 dose",1,10
2022-05-27,"3 dose",9,10
2022-05-28,"3 dose",2,8
2022-05-28,"2 dose",2,8
2022-05-28,"1 dose",4,8
2022-05-29,"3 dose",3,7
2022-05-29,"2 dose",2,7
2022-05-29,"1 dose",2,7
2022-05-30,"3 dose",10,12
2022-05-30,"4 dose",2,12
2022-05-31,"3 dose",12,15
2022-05-31,"1 dose",2,15
2022-05-31,"4 dose",1,15
2022-06-01,"1 dose",1,12
2022-06-01,"2 dose",3,12
2022-06-01,"3 dose",7,12
2022-06-01,"4 dose",1,12
2022-06-02,"2 dose",1,9
2022-06-02,"1 dose",1,9
2022-06-02,"3 dose",6,9
2022-06-02,"4 dose",1,9
2022-06-03,"2 dose",1,5
2022-06-04,"2 dose",1,8
2022-06-04,"3 dose",4,8
2022-06-04,"1 dose",3,8
2022-06-05,"4 dose",1,5
2022-06-05,"3 dose",2,5
2022-06-05,"2 dose",1,5
2022-06-06,"3 dose",7,12
2022-06-06,"4 dose",1,12
2022-06-06,"2 dose",3,12
2022-06-06,"1 dose",1,12
2022-06-07,"3 dose",3,9
2022-06-07,"2 dose",5,9
2022-06-07,"4 dose",1,9
2022-06-08,"2 dose",2,8
2022-06-08,"4 dose",1,8
2022-06-08,"3 dose",5,8
2022-06-09,"4 dose",2,14
2022-06-09,"3 dose",9,14
2022-06-09,"1 dose",1,14
2022-06-09,"2 dose",2,14
2022-06-10,"2 dose",3,9
2022-06-10,"4 dose",1,9
2022-06-10,"3 dose",5,9
2022-06-11,"2 dose",1,7
2022-06-11,"3 dose",6,7
2022-06-12,"3 dose",1,6
2022-06-12,"1 dose",2,6
2022-06-12,"2 dose",3,6
2022-06-13,"3 dose",4,5
2022-06-13,"4 dose",1,5
2022-06-14,"4 dose",1,7
2022-06-14,"3 dose",2,7
2022-06-14,"5 dose",1,7
2022-06-14,"1 dose",2,7
2022-06-14,"2 dose",1,7
2022-06-15,"1 dose",1,14
2022-06-15,"3 dose",11,14
2022-06-15,"2 dose",2,14
2022-06-16,"3 dose",4,8
2022-06-16,"4 dose",1,8
2022-06-16,"2 dose",3,8
2022-06-17,"1 dose",1,11
2022-06-17,"3 dose",7,11
2022-06-17,"4 dose",3,11
2022-06-18,"4 dose",2,17
2022-06-18,"3 dose",3,17
2022-06-18,"1 dose",7,17
2022-06-18,"2 dose",5,17
2022-06-19,"3 dose",1,5
2022-06-19,"2 dose",1,5
2022-06-19,"1 dose",2,5
2022-06-20,"1 dose",6,13
2022-06-20,"3 dose",4,13
2022-06-20,"2 dose",2,13
2022-06-20,"4 dose",1,13
2022-06-21,"2 dose",2,10
2022-06-21,"1 dose",2,10
2022-06-21,"4 dose",1,10
2022-06-21,"3 dose",5,10
2022-06-22,"4 dose",2,9
2022-06-22,"2 dose",3,9
2022-06-22,"3 dose",3,9
2022-06-22,"1 dose",1,9
2022-06-23,"4 dose",1,7
2022-06-23,"2 dose",3,7
2022-06-23,"3 dose",3,7
2022-06-24,"3 dose",3,5
2022-06-24,"2 dose",2,5
2022-06-25,"1 dose",4,11
2022-06-25,"4 dose",2,11
2022-06-25,"2 dose",5,11
2022-06-26,"2 dose",2,6
2022-06-26,"1 dose",2,6
2022-06-26,"3 dose",2,6
2022-06-27,"1 dose",5,15
2022-06-27,"2 dose",3,15
2022-06-27,"3 dose",3,15
2022-06-27,"4 dose",4,15
2022-06-28,"2 dose",2,8
2022-06-28,"3 dose",5,8
2022-06-28,"1 dose",1,8
2022-06-29,"4 dose",1,5
2022-06-29,"1 dose",1,5
2022-06-29,"2 dose",2,5
2022-06-29,"3 dose",1,5
2022-06-30,"4 dose",3,17
2022-06-30,"1 dose",1,17
2022-06-30,"3 dose",7,17
2022-06-30,"2 dose",6,17
2022-07-01,"3 dose",2,5
2022-07-02,"2 dose",4,8
2022-07-02,"1 dose",4,8
2022-07-03,"1 dose",1,5
2022-07-03,"2 dose",1,5
2022-07-03,"3 dose",1,5
2022-07-03,"4 dose",1,5
2022-07-04,"3 dose",2,5
2022-07-04,"1 dose",1,5
2022-07-04,"2 dose",2,5
2022-07-05,"2 dose",4,5
2022-07-05,"4 dose",1,5
2022-07-06,"3 dose",1,5
2022-07-06,"2 dose",2,5
2022-07-07,"3 dose",3,7
2022-07-07,"2 dose",4,7
2022-07-08,"3 dose",2,6
2022-07-08,"1 dose",1,6
2022-07-08,"2 dose",2,6
2022-07-08,"5 dose",1,6
2022-07-09,"3 dose",2,8
2022-07-09,"2 dose",6,8
2022-07-10,"3 dose",1,5
2022-07-11,"1 dose",1,5
2022-07-11,"2 dose",2,5
2022-07-12,"3 dose",1,5
2022-07-12,"2 dose",4,5
2022-07-13,"2 dose",2,5
2022-07-13,"3 dose",2,5
2022-07-14,"2 dose",2,5
2022-07-14,"1 dose",2,5
2022-07-15,"3 dose",1,5
2022-07-15,"2 dose",2,5
2022-07-15,"4 dose",1,5
2022-07-16,"3 dose",1,9
2022-07-16,"1 dose",4,9
2022-07-16,"2 dose",4,9
2022-07-17,"1 dose",1,5
2022-07-17,"2 dose",2,5
2022-07-18,"2 dose",2,5
2022-07-18,"1 dose",1,5
2022-07-18,"3 dose",2,5
2022-07-19,"3 dose",2,5
2022-07-20,"2 dose",4,7
2022-07-20,"3 dose",1,7
2022-07-20,"4 dose",1,7
2022-07-20,"1 dose",1,7
2022-07-21,"2 dose",4,8
2022-07-21,"3 dose",1,8
2022-07-21,"1 dose",3,8
2022-07-22,"3 dose",2,5
2022-07-22,"1 dose",1,5
2022-07-22,"2 dose",2,5
2022-07-23,"2 dose",5,6
2022-07-23,"1 dose",1,6
2022-07-24,"2 dose",4,5
2022-07-24,"1 dose",1,5
2022-07-25,"1 dose",1,5
2022-07-26,"3 dose",1,5
2022-07-26,"2 dose",2,5
2022-07-27,"1 dose",1,5
2022-07-27,"3 dose",2,5
2022-07-27,"2 dose",1,5
2022-07-28,"1 dose",1,5
2022-07-28,"2 dose",1,5
2022-07-29,"2 dose",2,5
2022-07-30,"2 dose",1,5
2022-07-30,"1 dose",4,5
2022-08-01,"2 dose",2,5
2022-08-01,"3 dose",1,5
2022-08-02,"2 dose",2,5
2022-08-02,"1 dose",1,5
2022-08-03,"2 dose",1,5
2022-08-03,"1 dose",1,5
2022-08-05,"3 dose",2,5
2022-08-05,"1 dose",2,5
2022-08-06,"2 dose",1,5
2022-08-06,"1 dose",3,5
2022-08-07,"2 dose",4,5
2022-08-07,"3 dose",1,5
2022-08-08,"2 dose",2,5
2022-08-08,"1 dose",1,5
2022-08-09,"3 dose",1,5
2022-08-09,"1 dose",1,5
2022-08-10,"3 dose",2,5
2022-08-10,"2 dose",3,5
2022-08-11,"2 dose",2,5
2022-08-11,"3 dose",2,5
2022-08-12,"3 dose",1,5
2022-08-12,"2 dose",2,5
2022-08-13,"1 dose",2,5
2022-08-13,"3 dose",1,5
2022-08-13,"2 dose",2,5
2022-08-14,"4 dose",1,5
2022-08-14,"2 dose",1,5
2022-08-15,"1 dose",1,5
2022-08-15,"2 dose",1,5
2022-08-16,"1 dose",4,6
2022-08-16,"3 dose",1,6
2022-08-16,"2 dose",1,6
2022-08-17,"2 dose",3,5
2022-08-17,"1 dose",1,5
2022-08-18,"3 dose",1,5
2022-08-18,"2 dose",1,5
2022-08-20,"2 dose",3,6
2022-08-20,"1 dose",3,6
2022-08-21,"4 dose",1,5
2022-08-22,"1 dose",1,5
2022-08-22,"2 dose",1,5
2022-08-23,"2 dose",1,5
2022-08-24,"1 dose",1,5
2022-08-24,"2 dose",2,5
2022-08-26,"1 dose",1,5
2022-08-27,"2 dose",2,5
2022-08-28,"2 dose",1,5
2022-08-28,"1 dose",1,5
2022-08-29,"2 dose",1,5
2022-08-29,"1 dose",1,5
2022-08-30,"2 dose",1,5
2022-08-30,"1 dose",2,5
2022-08-31,"2 dose",2,5
2022-08-31,"1 dose",1,5
2022-09-01,"4 dose",1,9
2022-09-01,"2 dose",3,9
2022-09-01,"3 dose",5,9
2022-09-02,"4 dose",4,14
2022-09-02,"5 dose",1,14
2022-09-02,"1 dose",1,14
2022-09-02,"3 dose",5,14
2022-09-02,"2 dose",3,14
2022-09-03,"3 dose",3,12
2022-09-03,"4 dose",2,12
2022-09-03,"1 dose",1,12
2022-09-03,"2 dose",6,12
2022-09-04,"4 dose",1,5
2022-09-04,"3 dose",2,5
2022-09-04,"2 dose",1,5
2022-09-05,"3 dose",18,35
2022-09-05,"5 dose",5,35
2022-09-05,"2 dose",1,35
2022-09-05,"4 dose",11,35
2022-09-06,"5 dose",3,36
2022-09-06,"2 dose",3,36
2022-09-06,"3 dose",19,36
2022-09-06,"4 dose",11,36
2022-09-07,"2 dose",2,30
2022-09-07,"4 dose",9,30
2022-09-07,"1 dose",1,30
2022-09-07,"5 dose",1,30
2022-09-07,"3 dose",17,30
2022-09-08,"2 dose",2,42
2022-09-08,"4 dose",19,42
2022-09-08,"5 dose",1,42
2022-09-08,"3 dose",20,42
2022-09-09,"4 dose",13,32
2022-09-09,"3 dose",17,32
2022-09-09,"5 dose",1,32
2022-09-09,"2 dose",1,32
2022-09-10,"4 dose",21,43
2022-09-10,"5 dose",2,43
2022-09-10,"3 dose",20,43
2022-09-11,"4 dose",8,9
2022-09-11,"3 dose",1,9
2022-09-12,"1 dose",2,27
2022-09-12,"4 dose",10,27
2022-09-12,"3 dose",14,27
2022-09-12,"5 dose",1,27
2022-09-13,"4 dose",12,31
2022-09-13,"2 dose",2,31
2022-09-13,"3 dose",17,31
2022-09-14,"4 dose",17,38
2022-09-14,"2 dose",1,38
2022-09-14,"1 dose",2,38
2022-09-14,"5 dose",3,38
2022-09-14,"3 dose",15,38
2022-09-15,"3 dose",16,35
2022-09-15,"1 dose",1,35
2022-09-15,"4 dose",15,35
2022-09-15,"2 dose",3,35
2022-09-16,"3 dose",16,34
2022-09-16,"2 dose",2,34
2022-09-16,"4 dose",14,34
2022-09-16,"1 dose",1,34
2022-09-16,"5 dose",1,34
2022-09-17,"3 dose",13,26
2022-09-17,"2 dose",2,26
2022-09-17,"4 dose",11,26
2022-09-18,"1 dose",1,16
2022-09-18,"4 dose",4,16
2022-09-18,"2 dose",4,16
2022-09-18,"3 dose",7,16
2022-09-19,"1 dose",1,28
2022-09-19,"2 dose",1,28
2022-09-19,"3 dose",15,28
2022-09-19,"4 dose",11,28
2022-09-20,"4 dose",24,53
2022-09-20,"1 dose",1,53
2022-09-20,"2 dose",1,53
2022-09-20,"3 dose",27,53
2022-09-21,"2 dose",3,65
2022-09-21,"3 dose",25,65
2022-09-21,"4 dose",37,65
2022-09-22,"2 dose",2,50
2022-09-22,"3 dose",28,50
2022-09-22,"4 dose",20,50
2022-09-23,"5 dose",2,77
2022-09-23,"1 dose",2,77
2022-09-23,"4 dose",36,77
2022-09-23,"2 dose",1,77
2022-09-23,"3 dose",36,77
2022-09-24,"3 dose",34,70
2022-09-24,"4 dose",34,70
2022-09-24,"2 dose",2,70
2022-09-25,"4 dose",14,29
2022-09-25,"2 dose",1,29
2022-09-25,"3 dose",14,29
2022-09-26,"5 dose",1,54
2022-09-26,"3 dose",30,54
2022-09-26,"4 dose",20,54
2022-09-26,"1 dose",3,54
2022-09-27,"1 dose",1,64
2022-09-27,"3 dose",32,64
2022-09-27,"2 dose",1,64
2022-09-27,"4 dose",30,64
2022-09-28,"5 dose",2,84
2022-09-28,"3 dose",42,84
2022-09-28,"4 dose",37,84
2022-09-28,"2 dose",3,84
2022-09-29,"3 dose",45,90
2022-09-29,"4 dose",38,90
2022-09-29,"5 dose",1,90
2022-09-29,"2 dose",4,90
2022-09-29,"1 dose",2,90
2022-09-30,"4 dose",23,71
2022-09-30,"2 dose",2,71
2022-09-30,"5 dose",1,71
2022-09-30,"1 dose",1,71
2022-09-30,"3 dose",44,71
2022-10-01,"3 dose",47,86
2022-10-01,"2 dose",4,86
2022-10-01,"1 dose",3,86
2022-10-01,"4 dose",32,86
2022-10-02,"4 dose",18,51
2022-10-02,"1 dose",1,51
2022-10-02,"3 dose",31,51
2022-10-02,"2 dose",1,51
2022-10-03,"2 dose",2,55
2022-10-03,"5 dose",2,55
2022-10-03,"3 dose",40,55
2022-10-03,"4 dose",11,55
2022-10-04,"3 dose",33,62
2022-10-04,"5 dose",2,62
2022-10-04,"2 dose",3,62
2022-10-04,"4 dose",22,62
2022-10-04,"1 dose",2,62
2022-10-05,"2 dose",1,66
2022-10-05,"1 dose",1,66
2022-10-05,"3 dose",43,66
2022-10-05,"5 dose",1,66
2022-10-05,"4 dose",20,66
2022-10-06,"2 dose",2,72
2022-10-06,"4 dose",25,72
2022-10-06,"3 dose",44,72
2022-10-06,"5 dose",1,72
2022-10-07,"2 dose",2,70
2022-10-07,"3 dose",43,70
2022-10-07,"1 dose",2,70
2022-10-07,"4 dose",23,70
2022-10-08,"2 dose",3,106
2022-10-08,"4 dose",32,106
2022-10-08,"5 dose",2,106
2022-10-08,"3 dose",69,106
2022-10-09,"2 dose",1,55
2022-10-09,"4 dose",15,55
2022-10-09,"3 dose",39,55
2022-10-10,"3 dose",47,71
2022-10-10,"2 dose",1,71
2022-10-10,"5 dose",2,71
2022-10-10,"4 dose",18,71
2022-10-10,"1 dose",3,71
2022-10-11,"5 dose",1,94
2022-10-11,"2 dose",4,94
2022-10-11,"1 dose",3,94
2022-10-11,"3 dose",68,94
2022-10-11,"4 dose",18,94
2022-10-12,"2 dose",2,87
2022-10-12,"1 dose",3,87
2022-10-12,"4 dose",18,87
2022-10-12,"3 dose",64,87
2022-10-13,"1 dose",1,105
2022-10-13,"4 dose",31,105
2022-10-13,"5 dose",1,105
2022-10-13,"2 dose",2,105
2022-10-13,"3 dose",70,105
2022-10-14,"5 dose",1,72
2022-10-14,"3 dose",54,72
2022-10-14,"2 dose",1,72
2022-10-14,"4 dose",16,72
2022-10-15,"3 dose",75,128
2022-10-15,"1 dose",3,128
2022-10-15,"5 dose",2,128
2022-10-15,"2 dose",9,128
2022-10-15,"4 dose",39,128
2022-10-16,"2 dose",1,43
2022-10-16,"4 dose",7,43
2022-10-16,"1 dose",2,43
2022-10-16,"3 dose",33,43
2022-10-17,"1 dose",1,67
2022-10-17,"3 dose",51,67
2022-10-17,"5 dose",2,67
2022-10-17,"2 dose",1,67
2022-10-17,"4 dose",12,67
2022-10-18,"5 dose",1,66
2022-10-18,"3 dose",44,66
2022-10-18,"4 dose",19,66
2022-10-18,"2 dose",2,66
2022-10-19,"4 dose",15,71
2022-10-19,"2 dose",2,71
2022-10-19,"5 dose",1,71
2022-10-19,"3 dose",53,71
2022-10-20,"2 dose",1,89
2022-10-20,"4 dose",13,89
2022-10-20,"1 dose",2,89
2022-10-20,"3 dose",73,89
2022-10-21,"3 dose",48,63
2022-10-21,"4 dose",10,63
2022-10-21,"5 dose",1,63
2022-10-21,"2 dose",3,63
2022-10-21,"1 dose",1,63
2022-10-22,"1 dose",6,121
2022-10-22,"2 dose",7,121
2022-10-22,"4 dose",17,121
2022-10-22,"3 dose",90,121
2022-10-22,"5 dose",1,121
2022-10-23,"4 dose",4,34
2022-10-23,"3 dose",30,34
2022-10-24,"2 dose",2,59
2022-10-24,"4 dose",13,59
2022-10-24,"1 dose",2,59
2022-10-24,"3 dose",42,59
2022-10-25,"2 dose",5,93
2022-10-25,"3 dose",71,93
2022-10-25,"1 dose",3,93
2022-10-25,"4 dose",14,93
2022-10-26,"3 dose",70,85
2022-10-26,"4 dose",10,85
2022-10-26,"2 dose",3,85
2022-10-26,"1 dose",1,85
2022-10-26,"5 dose",1,85
2022-10-27,"5 dose",2,70
2022-10-27,"2 dose",2,70
2022-10-27,"4 dose",13,70
2022-10-27,"3 dose",53,70
2022-10-28,"6 dose",1,73
2022-10-28,"3 dose",60,73
2022-10-28,"5 dose",1,73
2022-10-28,"4 dose",4,73
2022-10-28,"1 dose",5,73
2022-10-28,"2 dose",2,73
2022-10-29,"4 dose",18,70
2022-10-29,"5 dose",2,70
2022-10-29,"2 dose",1,70
2022-10-29,"3 dose",49,70
2022-10-30,"1 dose",2,40
2022-10-30,"3 dose",33,40
2022-10-30,"2 dose",3,40
2022-10-30,"4 dose",2,40
2022-10-31,"4 dose",6,63
2022-10-31,"3 dose",52,63
2022-10-31,"2 dose",2,63
2022-10-31,"1 dose",3,63
2022-11-01,"1 dose",2,74
2022-11-01,"4 dose",6,74
2022-11-01,"3 dose",62,74
2022-11-01,"2 dose",3,74
2022-11-01,"5 dose",1,74
2022-11-02,"3 dose",48,57
2022-11-02,"4 dose",5,57
2022-11-02,"1 dose",1,57
2022-11-02,"2 dose",3,57
2022-11-03,"2 dose",2,56
2022-11-03,"3 dose",49,56
2022-11-03,"4 dose",5,56
2022-11-04,"5 dose",1,60
2022-11-04,"2 dose",3,60
2022-11-04,"1 dose",2,60
2022-11-04,"3 dose",50,60
2022-11-04,"4 dose",4,60
2022-11-05,"2 dose",2,70
2022-11-05,"1 dose",2,70
2022-11-05,"4 dose",12,70
2022-11-05,"5 dose",1,70
2022-11-05,"3 dose",53,70
2022-11-06,"4 dose",4,45
2022-11-06,"3 dose",39,45
2022-11-06,"2 dose",2,45
2022-11-07,"1 dose",2,57
2022-11-07,"4 dose",5,57
2022-11-07,"2 dose",2,57
2022-11-07,"3 dose",48,57
2022-11-08,"2 dose",1,76
2022-11-08,"4 dose",6,76
2022-11-08,"1 dose",2,76
2022-11-08,"3 dose",67,76
2022-11-09,"2 dose",5,67
2022-11-09,"1 dose",1,67
2022-11-09,"3 dose",54,67
2022-11-09,"4 dose",7,67
2022-11-10,"2 dose",2,53
2022-11-10,"1 dose",2,53
2022-11-10,"3 dose",43,53
