"vaccination_campaign","cohort_start_date","n"
"A_2024",2024-10-24,47
"A_2024",2024-10-28,47
"A_2024",2024-11-17,17
"A_2023",2023-10-25,43
"A_2023",2023-11-04,33
"A_2024",2024-10-13,13
"A_2024",2024-10-02,27
"A_2023",2023-10-16,62
"S_2024",2024-04-26,32
"A_2024",2024-11-18,35
"A_2023",2023-12-01,31
"A_2023",2023-11-16,32
"A_2024",2024-11-15,38
"A_2023",2023-10-12,59
"S_2024",2024-04-25,37
"A_2024",2024-12-05,28
"A_2023",2023-09-21,40
"S_2024",2024-05-20,17
"A_2023",2023-09-25,52
"S_2025",2025-05-09,25
"A_2024",2024-10-04,24
"A_2023",2023-10-29,15
"S_2024",2024-04-16,36
"S_2024",2024-05-15,28
"A_2024",2024-11-25,22
"S_2025",2025-04-22,11
"S_2025",2025-04-09,6
"A_2023",2024-01-26,5
"S_2024",2024-06-03,7
"A_2023",2024-01-08,5
"A_2024",2024-12-06,29
"A_2023",2023-09-24,11
"A_2024",2024-11-06,30
"A_2023",2024-01-20,5
"S_2025",2025-05-10,6
"A_2023",2024-01-04,5
"A_2024",2024-10-14,47
"A_2024",2024-11-21,30
"A_2024",2024-11-20,26
"A_2023",2023-12-15,9
"S_2025",2025-04-26,16
"A_2023",2023-10-09,44
"A_2023",2023-11-25,26
"S_2024",2024-05-11,23
"A_2024",2024-10-09,33
"A_2023",2023-10-21,62
"A_2023",2023-11-19,5
"A_2023",2023-10-24,77
"A_2023",2023-12-29,6
"S_2024",2024-04-19,28
"A_2024",2024-11-11,33
"S_2025",2025-04-13,5
"S_2025",2025-04-18,5
"S_2024",2024-05-05,9
"A_2023",2023-12-17,5
"A_2023",2023-09-12,24
"A_2024",2024-12-18,11
"S_2024",2024-05-01,29
"A_2024",2024-10-23,51
"A_2023",2023-09-06,6
"S_2024",2024-05-08,18
"A_2024",2024-10-30,29
"A_2023",2023-12-14,15
"A_2023",2023-12-30,5
"A_2024",2024-10-17,37
"A_2023",2024-01-12,5
"S_2024",2024-05-27,9
"A_2023",2024-01-27,5
"A_2023",2023-11-23,29
"S_2025",2025-04-04,7
"S_2024",2024-04-15,29
"A_2024",2024-11-12,47
"A_2023",2023-09-30,54
"A_2023",2023-11-11,31
"A_2023",2023-10-26,44
"A_2023",2023-10-07,119
"S_2025",2025-05-15,5
"A_2023",2023-12-03,9
"S_2025",2025-04-16,16
"S_2024",2024-05-14,26
"A_2023",2023-11-24,37
"A_2023",2023-10-04,53
"A_2024",2024-10-01,31
"A_2024",2024-10-12,81
"S_2024",2024-05-09,36
"S_2024",2024-04-21,7
"A_2023",2023-12-23,5
"A_2024",2024-09-26,6
"A_2024",2024-11-16,27
"A_2024",2024-11-07,38
"S_2025",2025-04-08,12
"A_2024",2024-11-04,38
"A_2023",2023-12-24,5
"A_2023",2023-12-09,17
"A_2023",2023-09-28,47
"A_2024",2024-11-28,26
"A_2023",2023-12-28,6
"S_2025",2025-04-23,18
"A_2024",2024-12-02,23
"A_2024",2024-11-23,18
"S_2025",2025-05-13,6
"A_2023",2023-10-18,71
"A_2024",2024-11-14,29
"A_2023",2024-01-13,5
"S_2024",2024-05-29,9
"A_2023",2023-11-08,34
"A_2023",2023-11-26,13
"A_2023",2023-09-04,8
"A_2023",2023-10-19,49
"S_2025",2025-04-17,14
"A_2023",2023-09-19,37
